class,shoulderLangle,shoulderRangle,elbowLangle,elbowRangle,hipLangle,hipRangle,kneeLangle,kneeRangle
arkaKol,67.79552468050167,29.674408137622933,136.6776438502704,107.03007723288495,159.2893182925868,172.60206512401106,83.80556598935563,81.45978408869752
arkaKol,69.33471741085404,33.131406062159726,129.68619064311918,105.19046459494871,159.86097944818025,172.3620719235265,83.22450607294813,83.17065003367802
arkaKol,69.30149093722332,37.68158360722146,124.38116053144593,110.82175224365986,161.62121007178973,174.6291978475268,82.42451592805327,82.13347176549897
arkaKol,71.97678007371016,39.77625961883446,128.32445799813377,113.01308261174368,159.69944471001628,174.70261287904503,85.2618882359425,82.42482410304288
arkaKol,73.18464745368473,43.03213411000377,127.88862906781345,115.5083707587325,157.01067483068604,174.8585785822127,88.22483785622224,82.07227165763014
arkaKol,70.51656449846656,40.98505536329137,126.61105614064971,117.68831353999101,157.88496974324613,177.44854911605137,87.09714890125066,79.53991905203353
arkaKol,67.38391122454244,37.513112079440546,135.61656011797737,116.59138863908058,159.56448641918243,175.22201976900146,84.62543138391602,80.08095534021069
arkaKol,69.09321209977134,33.28843997234199,142.2322907421403,116.57708798751244,160.69060803327676,179.24079520910144,82.69226085070748,76.523833764523
arkaKol,71.29063537777583,38.74221358771333,160.91557367605324,130.72225835468956,162.12130883793253,179.7069249802615,82.23887876576869,76.69326220395891
arkaKol,66.96374342282539,40.5771357912399,169.78137407789126,138.61436096853646,162.45522917242906,178.36366072885934,82.02989133019803,77.81663186233477
arkaKol,62.16175630898351,39.51255421116132,174.86948553017788,146.57634001826764,161.4185999614843,178.37533928544173,82.91871922409648,74.58956454810622
arkaKol,53.85790626713105,31.223060251819632,172.25739942330665,145.25744055118528,158.92266408466645,177.37394310057812,85.60592435918646,73.41242594386618
arkaKol,49.80546486881693,28.596008931284786,179.3855153001532,148.05754988960058,158.1467414761799,179.9184384757869,87.15119032585729,75.34152759226797
arkaKol,44.956789776468206,26.032519672935127,176.47932128330947,153.97342274011174,157.11708420818198,179.92991755651173,87.3262628163099,74.59559124597179
arkaKol,39.22639440213923,21.935140224612304,175.44132110531976,155.73486092261308,154.94097891185982,177.97569150619748,87.77612934489758,71.3641737912682
arkaKol,31.832692645915444,18.328720327764703,175.49971173177673,157.03109653120836,156.48399370128934,169.48013403521173,86.02798431774258,65.38129748240617
arkaKol,30.060426251644742,18.269805826301592,167.69202728335947,157.9427661281724,157.3861611571847,167.2137146084121,85.07988662695992,62.27701183388504
arkaKol,29.58463833956314,16.21323871772938,164.713073426376,153.82326287899625,157.50599090610373,168.93696425623497,84.85624503136691,64.11435034187902
arkaKol,30.327716380738078,12.270117484448786,153.99305122044655,147.4308537655112,156.1880419202494,169.1404869440735,85.7498133700202,64.63911319420484
arkaKol,33.90677628674937,14.063123520268924,170.75004164851293,142.80822138712284,153.8769516140658,170.3266268200024,87.32188469718209,66.36064368364882
arkaKol,38.4061873929964,22.00526895427641,161.62462246104243,136.09413769301693,154.192561674879,179.38853632459416,87.62584919295638,72.72992738181988
arkaKol,45.50236264753875,23.335811120610312,179.22117972570277,129.34150429885284,155.26389405146242,179.5712788537071,86.81997687800249,73.69900650377616
arkaKol,46.95928898492174,22.956341751908692,174.06374737485612,122.33501278893615,157.6499900838261,173.28454929572115,85.38955922935487,69.01001689605962
arkaKol,48.989133294010465,22.63117483456987,154.4362653695532,113.80516342449754,161.71008812515183,174.60975359813526,82.63555248188679,71.25841296578112
arkaKol,56.50633508242179,22.384402924199417,143.1233153222063,108.83386142271368,163.62418372082922,178.77201398434903,81.82757164806281,75.29433712773009
arkaKol,59.05235453422167,23.794837604811516,139.29309395185706,104.84931346786387,164.79602767060712,178.72766988728424,81.70564341951751,75.19100289547863
arkaKol,61.93181689949463,23.188866003047444,134.56874515128175,100.8283647205072,163.87832957307236,177.9121806711096,82.84158102636968,74.45835767519532
arkaKol,64.19197812746276,24.971565519132646,131.44175577345453,99.97463608910006,163.7241757303643,177.14749767490838,83.12846083941065,73.89523746829549
arkaKol,65.64231039876944,28.38461161341785,132.9773225760657,103.5762681859066,162.4898989508632,179.13918398844663,83.9749460939942,75.59226294942081
arkaKol,58.156366938341314,33.051439018806235,128.97766973468677,108.71867627709752,162.4978876566593,179.46777076308572,83.60494878112395,77.143661090986
arkaKol,63.84341149608261,35.43335670583312,132.36141867069236,112.09491765802781,163.3624220700332,179.4404124834276,83.288869051057,77.39638797161236
